Codename CURE;41.6
ShellShock Live;700.77
Need for Speed: Hot Pursuit;223.4
Surgeon Simulator;25.67
Tricolour Lovestory;113.29
World of Guns: Gun Disassembly;155.62
Toribash;104.45
Empyrion - Galactic Survival;1583.75
Hyper Light Drifter;49.8
OneShot;51.22
Mountain;88.66
Chinese Parents;1172.28
Block N Load;69.72
Portal Knights;520.46
Shadow of the Tomb Raider;1932.17
Outlast 2;140.25
Call of Duty: WWII;389.17
My Time At Portia;2120.73
Dungeon Defenders;383.2
Mass Effect 2;235.7
FEZ;35.86
100% Orange Juice;265.23
The Evil Within;204.19
What Remains of Edith Finch;36.62
Day of Defeat: Source;408.01
Thief;124.26
Bad Rats;13.91
Gunpoint;10.58
Quantum Break;121.98
Quake Live;316.03
The Room;58.5
S.T.A.L.K.E.R.: Call of Pripyat;289.97
Shadow Warrior 2;227.63
Eternal Senia;7.79
Montaro;8.57
Tom Clancy's Splinter Cell Blacklist;113.91
Endless Legend™;726.81
Survarium;315.43
Child of Light;28.83
Beholder;126.41
Artifact;103.91
Fallout 3;53.42
Bendy and the Ink Machine;72.57
Yet Another Zombie Defense;15.25
Moonbase Alpha;6.09
Warhammer 40000: Space Marine;108.19
Grand Theft Auto: Vice City;308.34
Hand Simulator;333.33
Who's Your Daddy?!;56.49
The Banner Saga;89.08
Burnout Paradise: The Ultimate Box;80.06
Nuclear Throne;137.42
Business Tour - Online Multiplayer Board Game;1231.76
Kingdom: Classic;56.99
Darwin Project;807.16
Sid Meier's Civilization: Beyond Earth;599.37
DRAGON BALL XENOVERSE 2;972.15
Shadow Tactics: Blades of the Shogun;267.49
The Crew;45.32
Mitos.is: The Game;83.97
Aliens vs. Predator;69.94
Trine;77.58
Saints Row 2;111.05
RAGE;84.37
Car Mechanic Simulator 2018;1826.88
Blackwake;101.94
Pony Island;13.57
Shovel Knight: Treasure Trove;276.13
Far Cry® 3 Blood Dragon;21.77
Gotham City Impostors: Free To Play;15.72
Double Action: Boogaloo;18.49
Defiance;85.48
Hyperdimension Neptunia Re;Birth1;67.65
Dead Space;97.27
Contagion;48.78
Remember Me;23.59
Resident Evil Revelations 2;176.83
Spooky's Jump Scare Mansion;26.22
LEGO® Worlds;158.9
WARMODE;42.21
Deadlight;6.26
Dungeons 3;294.96
Dead Space 2;97.16
The Evil Within 2;362.29
Bayonetta;83.96
Valkyria Chronicles™;77.91
RWBY: Grimm Eclipse;29.58
Dragon Age: Origins - Ultimate Edition;491.26
LEGO® MARVEL Super Heroes;228.13
Injustice: Gods Among Us Ultimate Edition;35.94
Tropico 4;182.78
Call of Duty 4: Modern Warfare;122.97
Shadowrun Returns;75.36
NEKOPARA Vol. 2;30.88
Sonic Mania;106.4
MURDERED: SOUL SUSPECT™;27.83
Star Conflict;290.94
Move or Die;139.71
Project CARS;167.88
Detention;23.57
We Were Here;89.5
World War 3;55.01
Kingdoms of Amalur: Reckoning™;263.18
Bully: Scholarship Edition;124.56
Zombie Army Trilogy;123.75
Far Cry Primal;485.14
Natural Selection 2;173.53
BRAIN / OUT;144.79
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad;7.01
TrackMania Nations Forever;282.93
Ultra Street Fighter IV;144.39
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst;54.7
Psychonauts;49.25
The Awesome Adventures of Captain Spirit;47.1
Reign Of Kings;66.73
Hand of Fate;28.48
Five Nights at Freddy's 2;27.3
METAL GEAR SOLID V: GROUND ZEROES;57.61
Transmissions: Element 120;7.19
Half-Life 2: Episode One;293.17
Tropico 5;322.56
Freddy Fazbear's Pizzeria Simulator;114.35
Call of Duty: Infinite Warfare;155.68
Ultimate Custom Night;332.36
NEKOPARA Vol. 3;49.84
AirMech Strike;42.49
Alien Swarm: Reactive Drop;228.62
Defy Gravity;2.4
Mini Metro;122.36
Thomas Was Alone;5.82
LISA;50.2
Tales of Berseria;269.82
Dungeon of the Endless™;226.03
Lords Of The Fallen;58.03
ELEX;404.09
The Room Two;47.57
